DateTime,AlertDateTime,Case,Status
"2026-07-27T14:40:49.7291503Z","2026-07-27 15:54:30 UTC+07","25758","Timeout"
"2026-07-28T06:15:20.5237341Z","2026-07-28 12:45:36 UTC+07","25781","Cancel"
"2026-07-28T06:29:05.3536907Z","2026-07-28 12:43:36 UTC+07","25781","Timeout"
"2026-07-28T07:39:34.2181430Z","2026-07-28 14:01:24 UTC+07","25783","Block"
"2026-07-28T11:21:07.3181064Z","2026-07-28 18:04:48 UTC+07","25788","Cancel"
"2026-07-28T11:40:56.2845287Z","2026-07-28 18:00:24 UTC+07","25788","Timeout"
"2026-07-29T05:56:13.3040069Z","2026-07-29 12:39:00 UTC+07","25823","Block"
"2026-07-29T05:56:22.5728708Z","2026-07-29 12:39:06 UTC+07","25823","Block"
"2026-07-29T08:56:20.7347291Z","2026-07-29 15:42:24 UTC+07","25830","Block"
"2026-07-29T10:11:04.1061551Z","2026-07-29 16:53:36 UTC+07","25832","Block"
"2026-07-29T13:51:26.6038025Z","2026-07-29 20:34:36 UTC+07","25833","Cancel"
"2026-07-30T01:45:39.8002809Z","2026-07-30 08:34:30 UTC+07","25838","Confirm"
"2026-07-30T02:02:48.0613477Z","2026-07-30 08:39:30 UTC+07","25840","Confirm"
"2026-07-30T02:26:07.9154317Z","2026-07-30 09:17:00 UTC+07","25843","Confirm"
"2026-07-30T02:34:40.2747173Z","2026-07-30 09:22:30 UTC+07","25845","Cancel"
"2026-07-30T02:55:29.6572337Z","2026-07-30 09:12:00 UTC+07","25843","Timeout"
"2026-07-30T03:17:22.5398066Z","2026-07-30 09:27:30 UTC+07","25846","Timeout"
"2026-07-30T04:47:40.1727292Z","2026-07-27 14:24:00 UTC+07","25858","Timeout"
"2026-07-31T03:40:26.5520422Z","2026-07-31 10:02:06 UTC+07","25941","Timeout"
"2026-07-31T04:03:39.4804088Z","2026-07-31 10:46:36 UTC+07","25947","Cancel"
"2026-07-31T05:57:15.4378009Z","2026-07-31 12:38:36 UTC+07","25956","Block"
"2026-07-31T05:57:36.1297481Z","2026-07-31 12:39:12 UTC+07","25957","Block"
"2026-07-31T08:34:01.1801645Z","2026-07-31 15:16:12 UTC+07","25976","Block"
"2026-08-01T06:05:41.6523221Z","2026-08-01 12:47:12 UTC+07","26098","Cancel"
"2026-08-01T06:06:54.9226083Z","2026-08-01 12:49:12 UTC+07","26099","Cancel"
"2026-08-01T10:41:36.3238202Z","2026-08-01 17:28:36 UTC+07","26113","Block"
"2026-08-02T08:01:09.3512418Z","2026-08-02 14:47:12 UTC+07","26128","Cancel"
"2026-08-02T22:40:38.0812657Z","2026-08-03 05:00:38 UTC+07","26158","Timeout"
"2026-08-03T03:14:16.2086545Z","2026-08-03 09:57:00 UTC+07","26195","Confirm"
"2026-08-03T03:19:26.7271297Z","2026-08-03 09:53:00 UTC+07","26194","Confirm"
"2026-08-03T03:19:32.1369446Z","2026-08-03 10:03:00 UTC+07","26197","Confirm"
"2026-08-03T03:29:38.5206518Z","2026-08-03 10:21:00 UTC+07","26199","Confirm"
"2026-08-03T03:43:15.2571559Z","2026-08-03 10:07:00 UTC+07","26196","Timeout"
"2026-08-03T03:58:46.0777203Z","2026-08-03 10:14:00 UTC+07","26198","Timeout"
"2026-08-03T04:08:38.3033866Z","2026-08-03 10:24:00 UTC+07","26201","Timeout"
"2026-08-03T04:15:01.2189402Z","2026-08-03 10:31:00 UTC+07","26202","Timeout"
"2026-08-03T05:45:41.2812323Z","2026-08-03 12:32:00 UTC+07","26218","Confirm"
"2026-08-03T06:06:04.4993032Z","2026-08-03 12:42:00 UTC+07","26219","Confirm"
"2026-08-03T06:49:10.6238509Z","2026-08-03 13:34:00 UTC+07","26330","Confirm"
"2026-08-03T09:11:20.1321940Z","2026-08-03 15:20:00 UTC+07","26380","Timeout"
"2026-08-03T09:11:21.4738608Z","2026-08-03 15:31:00 UTC+07","26382","Timeout"
"2026-08-03T09:35:09.0434527Z","2026-08-03 15:48:00 UTC+07","26386","Timeout"
"2026-08-04T01:37:12.3577377Z","2026-08-04 08:21:00 UTC+07","26408","Confirm"
"2026-08-04T01:45:31.7209014Z","2026-08-04 08:35:00 UTC+07","26409","Confirm"
"2026-08-04T02:51:36.1485539Z","2026-08-04 09:05:00 UTC+07","26411","Confirm"
"2026-08-04T02:51:37.9312972Z","2026-08-04 09:15:00 UTC+07","26412","Confirm"
"2026-08-04T03:05:23.6756678Z","2026-08-04 09:46:00 UTC+07","26427","Confirm"
"2026-08-04T04:32:39.8746799Z","2026-08-04 11:12:00 UTC+07","26450","Block"
"2026-08-04T04:41:55.1948330Z","2026-08-04 11:35:00 UTC+07","26452","Confirm"
"2026-08-04T05:11:12.8309294Z","2026-08-04 11:25:00 UTC+07","26452","Timeout"
"2026-08-04T06:22:01.1712252Z","2026-08-04 13:06:00 UTC+07","26470","Confirm"
"2026-08-04T06:28:58.5400321Z","2026-08-04 13:16:00 UTC+07","26471","Confirm"
"2026-08-04T06:36:47.6412549Z","2026-08-04 13:18:00 UTC+07","26472","Confirm"
"2026-08-04T06:39:18.1677007Z","2026-08-04 13:26:00 UTC+07","26474","Confirm"
"2026-08-04T07:05:55.8049593Z","2026-08-04 13:46:00 UTC+07","26476","Confirm"
"2026-08-04T07:41:24.4143981Z","2026-08-04 14:14:00 UTC+07","26479","Cancel"
"2026-08-04T08:27:44.0641717Z","2026-08-04 12:36:00 UTC+07","26481","Timeout"
"2026-08-04T08:28:51.2636980Z","2026-08-04 15:05:00 UTC+07","26487","Confirm"
"2026-08-04T08:28:54.7085707Z","2026-08-04 12:12:00 UTC+07","26482","Timeout"
"2026-08-04T08:41:52.9636192Z","2026-08-04 15:21:00 UTC+07","26489","Confirm"
"2026-08-04T09:18:55.1740721Z","2026-08-04 15:37:00 UTC+07","26492","Timeout"
"2026-08-04T09:27:43.2932105Z","2026-08-04 13:48:00 UTC+07","26493","Timeout"
"2026-08-04T09:37:29.1549933Z","2026-08-04 16:17:00 UTC+07","26498","Confirm"
"2026-08-04T09:38:38.9834843Z","2026-08-04 16:30:00 UTC+07","26498","Confirm"
"2026-08-04T09:53:44.2825354Z","2026-08-04 16:40:00 UTC+07","26500","Confirm"
"2026-08-04T10:15:50.7034857Z","2026-08-04 16:50:00 UTC+07","26502","Confirm"
"2026-08-04T16:27:47.1042631Z","2026-08-04 21:00:00 UTC+07","26512","Confirm"
"2026-08-04T23:38:41.5555086Z","2026-08-05 05:52:30 UTC+07","26522","Timeout"
"2026-08-05T00:55:40.3800096Z","2026-08-05 07:38:30 UTC+07","26529","Block"
"2026-08-05T01:58:32.2759743Z","2026-08-05 08:10:00 UTC+07","26530","Timeout"
"2026-08-05T01:58:36.5136309Z","2026-08-05 08:10:00 UTC+07","26531","Timeout"
"2026-08-05T02:08:41.4721303Z","2026-08-05 08:18:00 UTC+07","26533","Timeout"
"2026-08-05T02:10:02.7369697Z","2026-08-05 08:28:00 UTC+07","26533","Timeout"
"2026-08-05T02:17:31.7576170Z","2026-08-05 09:01:00 UTC+07","26537","Confirm"
"2026-08-05T02:33:09.7763917Z","2026-08-05 09:17:00 UTC+07","26538","Confirm"
